category_name,category_url,product_name,price_raw,rating_raw,reviews_raw,product_url,price,reviews_count,rating,value_score,PRICE_USD,popularity_score
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,Wltoys 284161 RTR 1/28 2.4G 4WD RC Car Off-Road Climbing High Speed LED Light Truck Full Proportional Vehicles Models Toys,US$48.09,4.68,195 reviews,https://www.banggood.com/Wltoys-284161-RTR-1-or-28-2_4G-4WD-RC-Car-Off-Road-Climbing-High-Speed-LED-Light-Truck-Full-Proportional-Vehicles-Models-Toys-p-1984093.html?cur_warehouse=CN&ID=531930&rmmds=CategoryToysPop&trace_id=14ee1763848600921,48.09,195,4.68,0.0973175296319401,48.09,912.5999999999999
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,UDIRC UDI023/UDI023PRO 2.4G Brushed/Brushless Jet Spray RC Boat INKFISH Remote Control Speedboat Waterproof Self-Righting LED Lights RTR High Speed Vehicles Models Toys,US$93.99,4.64,45 reviews,https://www.banggood.com/UDIRC-UDI023-or-UDI023PRO-2_4G-Brushed-or-Brushless-Jet-Spray-RC-Boat-INKFISH-Remote-Control-Speedboat-Waterproof-Self-Righting-LED-Lights-RTR-High-Speed-Vehicles-Models-Toys-p-2004086.html?cur_warehouse=CN&ID=6306788&rmmds=CategoryToysPop&trace_id=14ee1763848600921,93.99,45,4.64,0.04936695393126928,93.99,208.79999999999998
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,MNRC MN82S 1/12 2.4G 4WD For Toyota LC79 RC Car Full Proportional Control Climbing Off-Road Vehicle Models,US$63.90,4.75,48 reviews,https://www.banggood.com/MNRC-MN82S-1-or-12-2_4G-4WD-For-Toyota-LC79-RC-Car-Full-Proportional-Control-Climbing-Off-Road-Vehicle-Models-p-2023823.html?cur_warehouse=CN&ID=6322853&rmmds=CategoryToysPop&trace_id=14ee1763848600921,63.9,48,4.75,0.07433489827856025,63.9,228.0
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,LDARC X43 1/43 2.4G 4WD RC Car Rock Crawler Mini Climbing LED Light Off-Road Vehicles Models Remote Control Racing Toys,US$70.09,4.62,122 reviews,https://www.banggood.com/LDARC-X43-1-or-43-2_4G-4WD-RC-Car-Rock-Crawler-Mini-Climbing-LED-Light-Off-Road-Vehicles-Models-Remote-Control-Racing-Toys-p-1998293.html?cur_warehouse=CN&ID=6325537&rmmds=CategoryToysPop&trace_id=14ee1763848600921,70.09,122,4.62,0.06591525181908973,70.09,563.64
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,MNRC MN82 RTR 1/12 2.4G 4WD RC Car for TOYOTA Land Cruiser LC79 Rock Crawler LED Light Climbing Off-Road Truck Full Proportional Vehicles Models Toys,US$49.59,4.86,152 reviews,https://www.banggood.com/MNRC-MN82-RTR-1-or-12-2_4G-4WD-RC-Car-for-TOYOTA-Land-Cruiser-LC79-Rock-Crawler-LED-Light-Climbing-Off-Road-Truck-Full-Proportional-Vehicles-Models-Toys-p-2004388.html?cur_warehouse=CN&ID=6287843&rmmds=CategoryToysPop&trace_id=14ee1763848600921,49.59,152,4.86,0.09800362976406533,49.59,738.72
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,FMS FCX24M RTR 1/24 2.4G 4WD RC Car for Land Rover Camel Trophy Edition Rock Crawler Off-Road Climbing Truck Two Speed LED Lights Vehicles Models Oil Filled Shocks Toys,US$114.09,4.96,91 reviews,https://www.banggood.com/FMS-FCX24M-RTR-1-or-24-2_4G-4WD-RC-Car-for-Land-Rover-Camel-Trophy-Edition-Rock-Crawler-Off-Road-Climbing-Truck-Two-Speed-LED-Lights-Vehicles-Models-Oil-Filled-Shocks-Toys-p-2016733.html?cur_warehouse=CN&ID=6327418&rmmds=CategoryToysPop&trace_id=14ee1763848600921,114.09,91,4.96,0.043474449995617497,114.09,451.36
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,HBX 16889A Pro 1/16 2.4G 4WD Brushless High Speed RC Car Vehicle Models Full Propotional Two Three Battery,US$108.99,4.8,300 reviews,https://www.banggood.com/HBX-16889A-Pro-1-or-16-2_4G-4WD-Brushless-High-Speed-RC-Car-Vehicle-Models-Full-Propotional-Two-Three-Battery-p-1891731.html?cur_warehouse=CN&ID=531931&rmmds=CategoryToysPop&trace_id=14ee1763848600921,108.99,300,4.8,0.04404073768235618,108.99,1440.0
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,YD001 RTR 1/50 2.4G RC Car Forklift Truck Simulation Crane Loader Remote Controlled Full Direction Engineering Vehicle Desktop Toys Model Collection Gift For Boys,US$25.99,,0 review,https://www.banggood.com/YD001-RTR-1-or-50-2_4G-RC-Car-Forklift-Truck-Simulation-Crane-Loader-Remote-Controlled-Full-Direction-Engineering-Vehicle-Desktop-Toys-Model-Collection-Gift-For-Boys-p-2039998.html?cur_warehouse=CN&ID=531930&rmmds=CategoryToysPop&trace_id=14ee1763848600921,25.99,0,,,25.99,
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,LYZRC C100 1/16 2.4G 4WD High-Speed Off-Road Climbing RC Car Full Proportional Control Electric Vehicle Model RTR,US$65.99,,0 review,https://www.banggood.com/LYZRC-C100-1-or-16-2_4G-4WD-High-Speed-Off-Road-Climbing-RC-Car-Full-Proportional-Control-Electric-Vehicle-Model-RTR-p-2038712.html?cur_warehouse=CN&ID=6319106&rmmds=CategoryToysPop&trace_id=14ee1763848600921,65.99,0,,,65.99,
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,Diatone x Sniclo MIX GO SNT MG034 1/43 2.4G 4WD Mini Drift RC Car Gyro Micro Racer LED Light Remote Control High-Speed Motor On-Road Racing Vehicles Models Boys Gifts Toys,US$96.99,,0 review,https://www.banggood.com/Diatone-x-Sniclo-MIX-GO-SNT-MG034-1-or-43-2_4G-4WD-Mini-Drift-RC-Car-Gyro-Micro-Racer-LED-Light-Remote-Control-High-Speed-Motor-On-Road-Racing-Vehicles-Models-Boys-Gifts-Toys-p-2039218.html?cur_warehouse=CN&ID=6334573&rmmds=CategoryToysPop&trace_id=14ee1763848600921,96.99,0,,,96.99,
